OFBIZ-943,New Feature,Closed,Fixed,29/04/07,02/12/08
OFBIZ-422,New Feature,Closed,Later,02/11/06,15/11/08
OFBIZ-881,New Feature,Closed,Duplicate,12/04/07,14/11/08
OFBIZ-3,New Feature,Closed,Fixed,28/05/06,09/09/07
OFBIZ-558,Improvement,Closed,Fixed,22/12/06,16/03/07
OFBIZ-52,Improvement,Closed,Fixed,25/06/06,01/11/08
OFBIZ-31,New Feature,Closed,Duplicate,20/06/06,16/09/06
OFBIZ-548,Improvement,Closed,Fixed,15/12/06,25/10/08
OFBIZ-747,Improvement,Closed,Fixed,21/02/07,22/10/08
OFBIZ-749,Improvement,Closed,Fixed,21/02/07,24/09/08
OFBIZ-715,Improvement,Closed,Fixed,11/02/07,23/09/08
OFBIZ-71,New Feature,Closed,Fixed,30/06/06,13/10/07
OFBIZ-961,Improvement,Closed,Later,04/05/07,25/12/07
OFBIZ-455,New Feature,Closed,Later,13/11/06,17/07/08
OFBIZ-495,New Feature,Closed,Fixed,25/11/06,15/07/08
OFBIZ-974,New Feature,Closed,Later,09/05/07,13/07/08
OFBIZ-326,Improvement,Closed,Later,25/09/06,13/07/08
OFBIZ-811,New Feature,Closed,Fixed,13/03/07,20/06/08
OFBIZ-930,Improvement,Closed,Won't Fix,25/04/07,29/05/08
OFBIZ-880,Improvement,Closed,Fixed,11/04/07,12/04/08
OFBIZ-708,Improvement,Closed,Invalid,09/02/07,24/03/08
OFBIZ-208,New Feature,Closed,Fixed,07/09/06,12/03/08
OFBIZ-851,New Feature,Closed,Later,27/03/07,17/02/08
OFBIZ-689,New Feature,Closed,Fixed,06/02/07,30/01/08
OFBIZ-931,New Feature,Closed,Later,26/04/07,18/01/08
OFBIZ-142,Improvement,Closed,Won't Fix,07/08/06,12/01/08
OFBIZ-38,Improvement,Closed,Won't Fix,21/06/06,12/01/08
OFBIZ-362,Improvement,Closed,Fixed,05/10/06,04/01/08
OFBIZ-241,Improvement,Closed,Duplicate,12/09/06,04/01/08
OFBIZ-932,Improvement,Closed,Fixed,27/04/07,30/12/07
OFBIZ-20,Wish,Closed,Fixed,09/06/06,29/12/07
OFBIZ-266,Improvement,Closed,Fixed,13/09/06,27/12/07
OFBIZ-82,New Feature,Closed,Fixed,08/07/06,25/12/07
OFBIZ-225,Wish,Closed,Fixed,11/09/06,25/12/07
OFBIZ-148,Improvement,Closed,Incomplete,10/08/06,22/12/07
OFBIZ-274,New Feature,Closed,Fixed,14/09/06,02/10/07
OFBIZ-658,Improvement,Closed,Fixed,26/01/07,20/12/07
OFBIZ-612,Improvement,Closed,Fixed,10/01/07,18/12/07
OFBIZ-660,Improvement,Closed,Fixed,26/01/07,13/12/07
OFBIZ-84,Improvement,Closed,Fixed,12/07/06,30/11/07
OFBIZ-846,New Feature,Closed,Later,26/03/07,26/11/07
OFBIZ-305,Improvement,Closed,Duplicate,14/09/06,23/11/07
OFBIZ-767,Improvement,Closed,Fixed,28/02/07,16/10/07
OFBIZ-131,Improvement,Closed,Fixed,03/08/06,15/11/07
OFBIZ-568,Improvement,Closed,Fixed,28/12/06,11/11/07
OFBIZ-465,Improvement,Closed,Fixed,15/11/06,02/11/07
OFBIZ-854,Improvement,Closed,Fixed,29/03/07,18/10/07
OFBIZ-525,Improvement,Closed,Fixed,06/12/06,17/10/07
OFBIZ-720,Improvement,Closed,Fixed,13/02/07,17/09/07
OFBIZ-342,Improvement,Closed,Invalid,29/09/06,15/09/07
OFBIZ-257,Improvement,Closed,Incomplete,13/09/06,17/10/07
OFBIZ-875,Improvement,Closed,Won't Fix,06/04/07,17/10/07
OFBIZ-998,Improvement,Closed,Fixed,18/05/07,17/10/07
OFBIZ-902,Improvement,Closed,Fixed,18/04/07,17/10/07
OFBIZ-618,Improvement,Closed,Fixed,11/01/07,14/10/07
OFBIZ-806,Improvement,Closed,Fixed,10/03/07,14/10/07
OFBIZ-762,Wish,Closed,Incomplete,25/02/07,14/10/07
OFBIZ-562,Wish,Closed,Incomplete,24/12/06,14/10/07
OFBIZ-560,Wish,Closed,Incomplete,22/12/06,14/10/07
OFBIZ-215,Improvement,Closed,Fixed,08/09/06,18/09/07
OFBIZ-434,Improvement,Closed,Fixed,07/11/06,16/09/07
OFBIZ-822,Improvement,Closed,Invalid,16/03/07,15/09/07
OFBIZ-44,New Feature,Closed,Won't Fix,22/06/06,12/09/07
OFBIZ-882,Improvement,Closed,Won't Fix,12/04/07,09/09/07
OFBIZ-306,New Feature,Closed,Duplicate,14/09/06,30/08/07
OFBIZ-981,Improvement,Closed,Later,14/05/07,12/08/07
OFBIZ-273,Improvement,Closed,Fixed,14/09/06,11/08/07
OFBIZ-987,Improvement,Closed,Cannot Reproduce,15/05/07,02/08/07
OFBIZ-813,Improvement,Closed,Fixed,13/03/07,17/07/07
OFBIZ-617,Wish,Closed,Fixed,11/01/07,15/07/07
OFBIZ-990,Improvement,Closed,Fixed,16/05/07,07/07/07
OFBIZ-939,Improvement,Closed,Fixed,28/04/07,28/06/07
OFBIZ-2,New Feature,Closed,Duplicate,26/05/06,27/06/07
OFBIZ-857,New Feature,Closed,Fixed,30/03/07,26/06/07
OFBIZ-276,New Feature,Closed,Duplicate,14/09/06,24/06/07
